Randolf wears one skirt and that mother of Marcus wears at least as many white skirt . <eos>	[5.545644283294678, 5.360159873962402, 3.824857234954834, 3.703824281692505, 3.3856468200683594, 4.1902618408203125, 5.244014739990234, 4.79781436920166, 4.682974815368652, 4.635748863220215, 3.826127529144287, 3.628366470336914, 3.976667881011963, 3.8903801441192627, 3.6910829544067383, 5.362729072570801, 5.204218864440918, 3.2731477972447465e-07]	[2.5537118911743164, 12.572961807250977, 5.85637092590332, 7.462353706359863, 1.9780340194702148, 6.042078018188477, 9.985713958740234, 4.677675247192383, 10.605684280395508, 6.514888763427734, 6.200111389160156, 2.110757827758789, 4.416969299316406, 1.8904657363891602, 5.7169599533081055, 10.74337387084961, 3.746835708618164, -0.0]	Randolf wears one lost skirt and that mother of Marcus wears at least as many white . <eos>	[4.988274574279785, 6.399275302886963, 3.515080690383911, 3.3686318397521973, 6.31859016418457, 3.1178083419799805, 4.8673553466796875, 4.990665435791016, 4.548535346984863, 4.960442543029785, 4.512235641479492, 3.6100552082061768, 3.612131118774414, 3.931741237640381, 3.7935197353363037, 3.731729030609131, 5.253116607666016, 3.2694947549316566e-07]	[2.94036865234375, 10.342098236083984, 5.645769119262695, 13.26891803741455, 6.425250053405762, 1.562154769897461, 6.031633377075195, 10.288707733154297, 5.12602424621582, 10.442404747009277, 6.171710014343262, 6.3231611251831055, 1.8826847076416016, 4.194738388061523, 1.915151596069336, 6.064199447631836, 5.1593475341796875, -0.0]
Kathleen described four associates and Stacy described five long associates . <eos>	[4.992528915405273, 6.34870719909668, 3.8361408710479736, 5.784948825836182, 3.709348201751709, 5.802484512329102, 4.805683135986328, 3.9497694969177246, 5.533164024353027, 5.945128440856934, 3.430161476135254, 2.7996389917461784e-07]	[11.171440124511719, 9.29259967803955, 7.263184070587158, 10.043229103088379, 3.437479019165039, 13.975172996520996, 6.1776628494262695, 7.694267749786377, 8.802484512329102, 9.733448028564453, 2.4246292114257812, -0.0]	Kathleen described four serious associates and Stacy described five long . <eos>	[4.989673614501953, 6.348438739776611, 3.8362858295440674, 5.784595489501953, 6.167690277099609, 3.4438793659210205, 5.495705604553223, 4.382174968719482, 4.037197113037109, 5.467849254608154, 5.811688423156738, 2.9817570634804724e-07]	[11.169910430908203, 9.292173385620117, 7.2596354484558105, 7.531421184539795, 10.865880966186523, 3.290159225463867, 13.115489959716797, 6.360359191894531, 7.859017372131348, 8.854291915893555, 6.428033828735352, -0.0]
Natalie was n't taking one drawing and Deanna 's daughter was n't taking some blue drawing . <eos>	[4.99233865737915, 5.779969692230225, 5.592386722564697, 5.647294044494629, 4.007721900939941, 4.870579719543457, 3.8678650856018066, 5.585966110229492, 5.890240669250488, 7.1112213134765625, 5.893837928771973, 6.273968696594238, 5.540939807891846, 4.216014862060547, 4.575610160827637, 5.543386459350586, 3.7213916778564453, 3.1642116482544225e-07]	[12.090574264526367, 3.5404787063598633, 5.887101173400879, 6.964014053344727, 5.930685043334961, 9.640666961669922, 3.176762580871582, 3.7883758544921875, 3.381916046142578, 4.873774528503418, 2.873382568359375, 4.470944404602051, 6.302284240722656, 6.380237579345703, 9.111540794372559, 11.182765007019043, 1.2383060455322266, -0.0]	Natalie was n't taking one hidden drawing and Deanna 's daughter was n't taking some blue . <eos>	[4.991564750671387, 5.778326034545898, 5.593786239624023, 5.646827697753906, 4.006904602050781, 4.869308948516846, 6.187845706939697, 3.7410531044006348, 5.9140729904174805, 5.990453720092773, 7.224090576171875, 6.015524864196777, 6.326441764831543, 5.712218761444092, 4.114131450653076, 4.60400390625, 5.594765663146973, 3.1032141123432666e-07]	[12.094407081604004, 3.541590690612793, 5.888976097106934, 6.966259002685547, 5.929215431213379, 11.37628173828125, 8.989189147949219, 3.3164710998535156, 3.633577346801758, 3.539809226989746, 5.46187686920166, 2.9803123474121094, 4.692917823791504, 6.583086967468262, 6.496703147888184, 9.134368896484375, 3.0191354751586914, -0.0]
A nephew of Sarah wo n't think about one commentary about and Carmen wo n't think about at least as many good commentary about . <eos>	[4.99277400970459, 7.24509334564209, 1.9895431995391846, 5.343375205993652, 5.148168087005615, 0.3851407468318939, 4.968343734741211, 4.356012344360352, 4.691078186035156, 3.2244248390197754, 3.7546281814575195, 4.38764762878418, 6.375019073486328, 4.20082950592041, 0.07124125957489014, 4.915014743804932, 4.169583797454834, 4.241335868835449, 2.995992660522461, 3.7425642013549805, 3.205843925476074, 4.593533515930176, 3.811490297317505, 2.2807669639587402, 4.555800437927246, 2.7883876896339643e-07]	[3.933492660522461, 9.893383026123047, 0.40378761291503906, 8.438297271728516, 14.433210372924805, 0.07919692993164062, 5.890019416809082, 3.7951154708862305, 5.446785926818848, 13.902495384216309, 2.9197940826416016, 5.988509178161621, 11.877925872802734, 6.823210716247559, 0.011592864990234375, 4.895901679992676, 3.5830516815185547, 8.001522064208984, 1.0770320892333984, 4.764827728271484, 2.602818489074707, 5.802773475646973, 13.587455749511719, 4.307199478149414, 3.639185905456543, -0.0]	A nephew of Sarah wo n't think about one bad commentary about and Carmen wo n't think about at least as many good . <eos>	[4.99123477935791, 7.244874477386475, 1.98753023147583, 5.343567848205566, 5.144987106323242, 0.3855774998664856, 4.968128204345703, 4.355885028839111, 4.691408157348633, 3.223416805267334, 4.6278228759765625, 3.6266250610351562, 4.730411529541016, 6.336582660675049, 4.387577056884766, 0.0774349570274353, 4.900643348693848, 4.210450649261475, 4.42319917678833, 2.9313244819641113, 3.801100254058838, 3.1963350772857666, 4.738494873046875, 4.100071907043457, 2.8866796242255077e-07]	[3.9316816329956055, 9.90341567993164, 0.40338897705078125, 8.437963485717773, 14.433406829833984, 0.07928466796875, 5.891387939453125, 3.7938766479492188, 5.446489334106445, 9.140400886535645, 12.69327163696289, 3.5883283615112305, 6.018418312072754, 11.703886985778809, 6.5253705978393555, 0.0131072998046875, 4.850966453552246, 3.5285167694091797, 7.922955513000488, 0.9865074157714844, 4.704143524169922, 2.5888280868530273, 5.673885345458984, 3.6216201782226562, -0.0]
Most grandfathers of that child were n't taking many snakes and Lissa is taking few black snakes . <eos>	[4.995264053344727, 4.853244781494141, 6.390469551086426, 4.761995792388916, 4.0531110763549805, 3.909226894378662, 5.946467876434326, 6.386752128601074, 4.918471813201904, 5.848879814147949, 3.2460508346557617, 6.197723865509033, 4.4072980880737305, 6.347212314605713, 4.816459655761719, 5.075394630432129, 5.367736339569092, 3.1016674041748047, 2.8143585950601846e-07]	[5.7329607009887695, 3.2567949295043945, 4.173574447631836, 5.640685081481934, 9.888195991516113, 1.9032821655273438, 7.527810096740723, 8.444437980651855, 7.926626205444336, 10.710943222045898, 2.1115665435791016, 3.006537437438965, 6.990630149841309, 6.873795509338379, 9.211174011230469, 9.69629192352295, 5.08249568939209, 1.4511394500732422, -0.0]	Most grandfathers of that child were n't taking many white snakes and Lissa is taking few black . <eos>	[4.9917497634887695, 4.846919536590576, 6.384326934814453, 4.76405668258667, 4.054138660430908, 3.905595064163208, 5.949434280395508, 6.38791036605835, 4.918121337890625, 5.848430633544922, 6.178750038146973, 3.3559980392456055, 6.236220359802246, 4.9924726486206055, 6.342158317565918, 4.957785606384277, 5.489713191986084, 5.5053815841674805, 3.226170974812703e-07]	[5.730508804321289, 3.263361930847168, 4.177149772644043, 5.638176918029785, 9.881848335266113, 1.9026069641113281, 7.529085159301758, 8.44476318359375, 7.924239635467529, 8.054357528686523, 9.019722938537598, 2.365140914916992, 2.9575366973876953, 6.671128273010254, 7.645790100097656, 8.833040237426758, 7.738327980041504, 5.347785949707031, -0.0]
Monet 's colleague could n't scare one podiatrist and Joseph could n't scare many content podiatrist . <eos>	[4.996891975402832, 4.650383472442627, 6.814133167266846, 5.108407497406006, 4.321990013122559, 5.027276992797852, 4.419445514678955, 3.658750057220459, 4.632962226867676, 6.203011512756348, 5.865592956542969, 3.840555191040039, 5.2887349128723145, 4.01800012588501, 4.2296552658081055, 4.517288684844971, 4.1783294677734375, 2.7058104024035856e-07]	[12.343377113342285, 1.7177934646606445, 8.470681190490723, 8.1340970993042, 4.095887184143066, 9.335514068603516, 5.322236061096191, 4.620020866394043, 3.165538787841797, 9.540847778320312, 4.047646522521973, 1.9232149124145508, 8.64532470703125, 6.870635986328125, 12.80374526977539, 4.716305732727051, 1.4478769302368164, -0.0]	Monet 's colleague could n't scare one serious podiatrist and Joseph could n't scare many content . <eos>	[4.98823881149292, 4.652878761291504, 6.816565990447998, 5.111888885498047, 4.322135925292969, 5.027495861053467, 4.419421195983887, 3.66196870803833, 5.593533515930176, 4.976019859313965, 6.432679653167725, 5.756552219390869, 3.7730069160461426, 5.261842250823975, 4.136011600494385, 4.252786636352539, 4.590238571166992, 2.798936407089059e-07]	[12.331399917602539, 1.7203569412231445, 8.469935417175293, 8.142675399780273, 4.090864181518555, 9.333160400390625, 5.324028015136719, 10.34345817565918, 3.317662239074707, 3.6439170837402344, 9.967646598815918, 4.620992660522461, 2.1049413681030273, 8.65213680267334, 6.851158142089844, 12.743557929992676, 1.6205320358276367, -0.0]
Sara 's nieces boast about several best friends and Edward 's cousins boast about a few busy best friends . <eos>	[4.989775657653809, 6.219969749450684, 5.5846333503723145, 2.2946300506591797, 5.517586708068848, 4.534881591796875, 5.959681510925293, 2.8943333625793457, 2.591519594192505, 5.710212707519531, 4.949804306030273, 5.355742454528809, 3.1969642639160156, 3.6375784873962402, 4.488221168518066, 6.722609519958496, 5.196146011352539, 5.571681976318359, 3.53896164894104, 3.089014768600464, 2.7712127348422655e-07]	[11.03286075592041, 3.343264579772949, 10.736536979675293, 13.541020393371582, 3.398909568786621, 6.038490295410156, 8.839522361755371, 0.93792724609375, 1.5228767395019531, 11.793754577636719, 2.094925880432129, 5.8258819580078125, 13.593635559082031, 2.8773193359375, 2.9476919174194336, 4.926907539367676, 13.374662399291992, 12.077856063842773, 0.8417434692382812, 1.792684555053711, -0.0]	Sara 's nieces boast about several uncertain best friends and Edward 's cousins boast about a few busy . <eos>	[4.991334915161133, 6.2224578857421875, 5.581076622009277, 2.2950124740600586, 5.519144058227539, 4.534760475158691, 5.959490776062012, 5.923938751220703, 2.4777674674987793, 2.569113254547119, 5.865396499633789, 5.084272861480713, 5.630946159362793, 3.5545601844787598, 3.818166732788086, 4.444319725036621, 6.729182243347168, 5.256435871124268, 5.494097709655762, 2.8016685860166035e-07]	[11.034280776977539, 3.3469486236572266, 10.744087219238281, 13.53777027130127, 3.4011974334716797, 6.03648567199707, 12.310990333557129, 7.714032173156738, 0.8169631958007812, 1.8479690551757812, 10.991785049438477, 1.9842891693115234, 6.133336067199707, 13.592281341552734, 2.924654960632324, 2.9040632247924805, 4.741228103637695, 13.327508926391602, 7.023001670837402, -0.0]
Jerry 's girlfriend is dropping by three art galleries and Bill is dropping by two smooth art galleries . <eos>	[4.989785194396973, 5.981393814086914, 6.3284101486206055, 4.983076095581055, 6.275180816650391, 4.276812553405762, 5.470536231994629, 5.528775215148926, 6.114683151245117, 3.2611212730407715, 6.1985673904418945, 5.516447067260742, 6.102654457092285, 3.928016185760498, 5.558119297027588, 5.770527362823486, 5.744636535644531, 6.105426788330078, 3.106963634490967, 2.7652862399918376e-07]	[9.948448181152344, 3.648702621459961, 5.388035774230957, 3.059938430786133, 12.65969467163086, 5.435029029846191, 5.378207206726074, 11.788895606994629, 4.685335159301758, 1.9851150512695312, 9.535600662231445, 2.3884124755859375, 9.69114875793457, 5.405647277832031, 4.146821975708008, 14.47192096710205, 9.9641695022583, 3.3152503967285156, 1.3145666122436523, -0.0]	Jerry 's girlfriend is dropping by three old art galleries and Bill is dropping by two smooth . <eos>	[4.989203453063965, 5.983184814453125, 6.328012466430664, 4.984755516052246, 6.275257587432861, 4.277247428894043, 5.470261573791504, 5.529227256774902, 4.816686630249023, 5.582389831542969, 3.2395060062408447, 6.394767761230469, 5.235015869140625, 6.022200107574463, 3.9986729621887207, 5.562060832977295, 5.785429954528809, 5.741311073303223, 3.246994424443983e-07]	[9.953740119934082, 3.646932601928711, 5.3914794921875, 3.0545902252197266, 12.659538269042969, 5.437162399291992, 5.3787641525268555, 6.596928596496582, 11.2225980758667, 4.25408935546875, 1.9710311889648438, 10.147759437561035, 2.7786378860473633, 9.605182647705078, 5.553101539611816, 4.498265266418457, 14.22490406036377, 5.092968940734863, -0.0]
Roger was exploring one grocery store and Kristin was exploring five orange grocery store . <eos>	[4.993734836578369, 2.752770185470581, 5.35777473449707, 4.611517906188965, 3.1428236961364746, 2.5444087982177734, 3.0212244987487793, 5.367223739624023, 4.919971466064453, 5.7974653244018555, 4.085179328918457, 5.743355751037598, 5.625692844390869, 1.9684596061706543, 4.19779634475708, 2.9576187898783246e-07]	[8.756341934204102, 4.430233001708984, 12.481884956359863, 6.224850654602051, 12.99074935913086, 0.4879493713378906, 2.1747264862060547, 17.413082122802734, 2.780940055847168, 9.269084930419922, 8.621034622192383, 11.695308685302734, 6.820362091064453, 3.7826595306396484, 3.1850109100341797, -0.0]	Roger was exploring one new grocery store and Kristin was exploring five orange . <eos>	[4.990419387817383, 2.7546768188476562, 5.353686809539795, 4.612331390380859, 3.139191150665283, 6.71338415145874, 1.8501946926116943, 3.072566509246826, 5.7598114013671875, 5.712673187255859, 5.709324836730957, 4.164889335632324, 5.330896377563477, 5.506045341491699, 2.9012315394538746e-07]	[8.766700744628906, 4.427885055541992, 12.478655815124512, 6.224733352661133, 4.160783767700195, 12.971172332763672, 0.35593605041503906, 2.3226776123046875, 17.068737030029297, 2.875377655029297, 9.166223526000977, 8.596099853515625, 12.082979202270508, 6.029772758483887, -0.0]
Kristin breaks a few dishes and Jacqueline breaks several white dishes . <eos>	[4.9898505210876465, 5.846147060394287, 2.4574241638183594, 6.0280256271362305, 6.085781097412109, 3.5087597370147705, 6.008060455322266, 5.515070915222168, 3.551754951477051, 6.237093925476074, 5.550293445587158, 3.586376667022705, 2.7544444947125157e-07]	[13.092041969299316, 9.016396522521973, 3.8216333389282227, 9.923152923583984, 10.120748519897461, 1.9437875747680664, 14.30527114868164, 5.901670455932617, 7.450142860412598, 7.726451873779297, 7.0290327072143555, 2.177617073059082, -0.0]	Kristin breaks a few rough dishes and Jacqueline breaks several white . <eos>	[4.989465713500977, 5.850396633148193, 2.4564578533172607, 6.027076721191406, 6.084043502807617, 5.6616668701171875, 3.352309465408325, 5.954118728637695, 5.47343635559082, 3.56186580657959, 6.231456756591797, 5.552493095397949, 2.9157601488805085e-07]	[13.088542938232422, 9.01374626159668, 3.8254384994506836, 9.916191101074219, 10.44058609008789, 8.834661483764648, 1.6253376007080078, 14.269552230834961, 5.626442909240723, 7.656609535217285, 7.597655773162842, 6.914314270019531, -0.0]
Michelle 's brother will watch one handyman and Nancy will watch three unconvinced handyman . <eos>	[4.990970134735107, 6.217674732208252, 6.367354393005371, 4.927556991577148, 4.543503761291504, 4.405704975128174, 2.868283748626709, 6.464961051940918, 6.602947235107422, 5.943775653839111, 5.235906600952148, 4.310319900512695, 5.853847503662109, 4.859688758850098, 4.347532749176025, 2.7890189358004136e-07]	[11.004605293273926, 3.6115646362304688, 4.116580963134766, 8.070334434509277, 8.15398120880127, 5.419321060180664, 4.9149980545043945, 3.322018623352051, 8.400976181030273, 5.057258605957031, 6.093993186950684, 6.428079605102539, 16.55944061279297, 3.643709182739258, 1.6045560836791992, -0.0]	Michelle 's brother will watch one happy handyman and Nancy will watch three unconvinced . <eos>	[4.991437911987305, 6.218289852142334, 6.373913764953613, 4.929436206817627, 4.545815944671631, 4.40444278717041, 2.8657078742980957, 6.011953353881836, 5.6735968589782715, 6.693639755249023, 5.237299919128418, 5.125852584838867, 4.299312591552734, 5.671099662780762, 4.780682563781738, 2.813695232362079e-07]	[11.009298324584961, 3.61289119720459, 4.119611740112305, 8.068550109863281, 8.148493766784668, 5.4193525314331055, 9.487704277038574, 4.01518440246582, 2.928739547729492, 8.561649322509766, 4.203365325927734, 6.225994110107422, 6.3643293380737305, 16.68107032775879, 2.235464096069336, -0.0]
Alexander had explored three libraries and Linda 's mothers had explored two blue libraries . <eos>	[4.994345664978027, 5.816455364227295, 5.381014823913574, 3.6269500255584717, 5.806506156921387, 2.958498477935791, 6.431892395019531, 6.085753917694092, 6.772855758666992, 4.151882171630859, 5.237982749938965, 3.7470245361328125, 6.2386980056762695, 5.946645736694336, 3.4830734729766846, 2.7923044854105683e-07]	[8.763580322265625, 4.057381629943848, 8.72968864440918, 6.522487640380859, 9.609221458435059, 2.8344173431396484, 15.381876945495605, 2.036454200744629, 12.509561538696289, 4.438840866088867, 7.142179489135742, 6.982131004333496, 11.63136100769043, 9.780716896057129, 2.5006771087646484, -0.0]	Alexander had explored three red libraries and Linda 's mothers had explored two blue . <eos>	[4.9892258644104, 5.815666675567627, 5.38045597076416, 3.6255335807800293, 5.804166793823242, 6.037919998168945, 3.127211332321167, 5.96173095703125, 5.289965629577637, 6.670882225036621, 3.2528181076049805, 5.343005657196045, 3.874784469604492, 6.3163042068481445, 6.041626930236816, 2.9240311505418504e-07]	[8.760017395019531, 4.057816505432129, 8.72726821899414, 6.522822380065918, 11.318930625915527, 10.900577545166016, 2.6314430236816406, 14.166337966918945, 1.4651594161987305, 12.314004898071289, 6.6611738204956055, 7.670549392700195, 7.492000579833984, 10.564492225646973, 6.38743782043457, -0.0]
Candice shocked one podiatrist and Regina shocked some employed podiatrist . <eos>	[4.988166809082031, 4.390798568725586, 5.378058910369873, 2.4144554138183594, 4.628371238708496, 6.3283185958862305, 5.736064434051514, 4.255503177642822, 4.550403594970703, 5.997552394866943, 5.0383477210998535, 2.7092531240668905e-07]	[13.451981544494629, 8.182781219482422, 8.458937644958496, 4.886806488037109, 2.9870948791503906, 12.320205688476562, 8.673255920410156, 6.246282577514648, 15.787577629089355, 3.19512939453125, 2.2797861099243164, -0.0]	Candice shocked one excited podiatrist and Regina shocked some employed . <eos>	[4.990289688110352, 4.3909478187561035, 5.380370616912842, 2.4195103645324707, 5.1859283447265625, 3.611675262451172, 5.553219795227051, 5.9210028648376465, 4.394743919372559, 3.897568702697754, 5.800816535949707, 2.782235242193565e-07]	[13.441576957702637, 8.174327850341797, 8.461639404296875, 13.744046211242676, 3.9685020446777344, 2.837169647216797, 13.522781372070312, 9.019475936889648, 6.07292366027832, 15.639223098754883, 4.311262130737305, -0.0]
A print did n't look like one grandson of and the painting of Sarah did n't look like five old grandson of . <eos>	[4.9911088943481445, 7.246047019958496, 4.822135925292969, 1.3503413200378418, 5.10737419128418, 3.066011667251587, 3.1981053352355957, 4.19054651260376, 3.0135741233825684, 4.869990348815918, 5.576034069061279, 6.070899963378906, 2.7982795238494873, 4.917418479919434, 5.2632880210876465, 1.3863276243209839, 4.915172576904297, 3.561009407043457, 3.5189008712768555, 5.887760162353516, 5.678461074829102, 3.3235607147216797, 4.8998637199401855, 2.836222279256617e-07]	[3.9356985092163086, 9.272517204284668, 8.827150344848633, 2.868241310119629, 6.832008361816406, 0.8118762969970703, 5.431144714355469, 13.060200691223145, 3.818303108215332, 9.391068458557129, 2.9555540084838867, 7.335855007171631, 4.712364196777344, 7.930987358093262, 5.289807319641113, 2.25958251953125, 5.038578033447266, 0.9548587799072266, 8.788522720336914, 6.239049911499023, 12.464418411254883, 3.819028854370117, 7.003800392150879, -0.0]	A print did n't look like one unsure grandson of and the painting of Sarah did n't look like five old . <eos>	[4.989724159240723, 7.243161678314209, 4.820108413696289, 1.348658561706543, 5.106613636016846, 3.0667364597320557, 3.19711971282959, 4.189936637878418, 3.2017457485198975, 2.57035493850708, 4.545270919799805, 5.643354415893555, 5.6543779373168945, 3.0344245433807373, 4.860373497009277, 5.2656402587890625, 1.5862891674041748, 4.923514366149902, 3.4224720001220703, 3.697833299636841, 5.904364585876465, 5.744546890258789, 2.9056448624942277e-07]	[3.9322500228881836, 9.272970199584961, 8.824865341186523, 2.869831085205078, 6.832353591918945, 0.8120632171630859, 5.43060302734375, 15.692816734313965, 15.179336547851562, 3.4824066162109375, 8.034591674804688, 2.5012216567993164, 7.335072040557861, 4.708518981933594, 7.614815711975098, 5.288103103637695, 1.9412603378295898, 4.824058532714844, 0.8853378295898438, 8.913537979125977, 6.309120178222656, 4.7385454177856445, -0.0]
The newspaper articles about the Lutherans disagreed with one cousin of and Patricia 's cousins disagreed with few serious cousin of . <eos>	[4.988783836364746, 7.80294132232666, 4.582973957061768, 4.970746994018555, 4.452178001403809, 7.434671401977539, 4.557185173034668, 2.3785347938537598, 4.115352630615234, 3.2303192615509033, 3.395803928375244, 4.072177410125732, 6.36315393447876, 5.342936038970947, 6.559151649475098, 2.734172821044922, 2.223367691040039, 4.339430809020996, 5.238955497741699, 5.494300842285156, 5.123468399047852, 4.938720226287842, 2.730743062784313e-07]	[1.7131280899047852, 7.844166278839111, 7.70538330078125, 4.500786781311035, 0.8643522262573242, 14.568302154541016, 9.755086898803711, 1.0447883605957031, 6.739410400390625, 11.79747200012207, 3.4187088012695312, 10.950601577758789, 13.656532287597656, 2.613828659057617, 8.05739974975586, 10.47760009765625, 0.9188194274902344, 12.215392112731934, 8.957778930664062, 14.592350006103516, 4.302596092224121, 8.19255256652832, -0.0]	The newspaper articles about the Lutherans disagreed with one sick cousin of and Patricia 's cousins disagreed with few serious . <eos>	[4.9898481369018555, 7.8037309646606445, 4.583160400390625, 4.969901084899902, 4.45213508605957, 7.434281349182129, 4.556068420410156, 2.3776063919067383, 4.114997386932373, 3.2288713455200195, 5.221431732177734, 2.987091541290283, 4.6552276611328125, 6.097291946411133, 4.274460792541504, 6.026304244995117, 2.7975311279296875, 2.2594988346099854, 4.136415481567383, 5.218850135803223, 5.602748870849609, 2.979669204705715e-07]	[1.713266372680664, 7.845141887664795, 7.707303047180176, 4.500459671020508, 0.8641815185546875, 14.565298080444336, 9.754250526428223, 1.0443553924560547, 6.740814208984375, 14.260245323181152, 8.371299743652344, 2.905487060546875, 9.649979591369629, 12.574451446533203, 2.7706661224365234, 8.015684127807617, 11.138469696044922, 0.9935512542724609, 12.365150451660156, 8.690033912658691, 7.351971626281738, -0.0]
Holly would reference five teenagers and a lot of sons of Laurie would reference four clever teenagers . <eos>	[4.993443965911865, 5.737613677978516, 4.991469383239746, 4.025321006774902, 6.341526031494141, 3.735226631164551, 4.60830020904541, 4.869622230529785, 0.3174196779727936, 5.420416831970215, 3.559885263442993, 4.844357490539551, 4.03626823425293, 4.60361385345459, 4.864996910095215, 5.40794563293457, 5.969644546508789, 3.700385093688965, 2.7817048930955934e-07]	[10.875596046447754, 5.92057991027832, 11.31612777709961, 8.020960807800293, 8.212480545043945, 2.9428930282592773, 2.359971046447754, 6.476049423217773, 0.03868293762207031, 7.70949649810791, 1.9660377502441406, 10.26981258392334, 8.562091827392578, 10.253641128540039, 7.579815864562988, 11.633832931518555, 6.274904251098633, 2.297269821166992, -0.0]	Holly would reference five sick teenagers and a lot of sons of Laurie would reference four clever . <eos>	[4.990903854370117, 5.740097522735596, 4.993395805358887, 4.025137424468994, 6.340309143066406, 4.845217704772949, 3.255147933959961, 4.822770118713379, 5.545001029968262, 0.34112483263015747, 5.857665061950684, 3.4172239303588867, 4.593732833862305, 3.8777008056640625, 4.698463439941406, 4.870532989501953, 5.566306114196777, 5.90986442565918, 2.9003376766922884e-07]	[10.878575325012207, 5.920111656188965, 11.308082580566406, 8.019801139831543, 12.32577896118164, 8.503580093383789, 2.5852413177490234, 1.8638906478881836, 6.875661849975586, 0.04415702819824219, 8.049891471862793, 1.9938831329345703, 10.565382957458496, 8.824722290039062, 10.647305488586426, 7.997298717498779, 11.727197647094727, 6.65622615814209, -0.0]
Cheryl investigated five grandfathers and Sabrina investigated four young grandfathers . <eos>	[4.991961479187012, 5.83902645111084, 4.942690849304199, 6.098293304443359, 6.197205543518066, 6.145308494567871, 4.087623119354248, 4.293506145477295, 5.64015007019043, 3.6299452781677246, 4.425039291381836, 2.73246172355357e-07]	[11.896860122680664, 13.159829139709473, 7.5862321853637695, 3.4884233474731445, 2.813889503479004, 11.615690231323242, 7.8721604347229, 6.990073204040527, 5.918214797973633, 3.697175979614258, 2.4553117752075195, -0.0]	Cheryl investigated five nice grandfathers and Sabrina investigated four young . <eos>	[4.99288272857666, 5.836408615112305, 4.942339897155762, 6.097446918487549, 5.952495574951172, 5.364726543426514, 6.62899112701416, 4.006001949310303, 4.102585792541504, 5.342719078063965, 3.3939507007598877, 2.7301319960315595e-07]	[11.884111404418945, 13.153589248657227, 7.5873332023620605, 12.69566535949707, 3.2541513442993164, 2.3583459854125977, 10.331016540527344, 9.029964447021484, 7.309771537780762, 5.571378707885742, 7.379477500915527, -0.0]
Alexander was working with one daughter of and all associations were working with many unemployed daughter of . <eos>	[4.995288848876953, 5.817873954772949, 5.296895980834961, 2.5128278732299805, 5.650969505310059, 1.5165631771087646, 3.388139486312866, 3.9219133853912354, 5.078400611877441, 2.727635383605957, 3.4354238510131836, 6.3249101638793945, 3.006411552429199, 5.7335028648376465, 5.289252281188965, 4.5850372314453125, 4.325754165649414, 3.735795259475708, 2.7878894570676493e-07]	[8.758560180664062, 2.3616952896118164, 8.068243026733398, 2.613393783569336, 5.661130905151367, 7.347447395324707, 2.6608219146728516, 10.314247131347656, 6.3701887130737305, 14.19492244720459, 6.737096786499023, 5.835768699645996, 2.062725067138672, 6.532486915588379, 9.158590316772461, 12.386080741882324, 2.4023523330688477, 9.86645793914795, -0.0]	Alexander was working with one smart daughter of and all associations were working with many unemployed . <eos>	[4.9911603927612305, 5.818586349487305, 5.296633243560791, 2.5127620697021484, 5.651500701904297, 1.518310308456421, 5.354940414428711, 3.035729169845581, 3.9761199951171875, 5.386405944824219, 3.074723958969116, 3.5425186157226562, 6.408113956451416, 3.124380350112915, 5.7343597412109375, 5.155033111572266, 4.594808101654053, 2.7367775601305766e-07]	[8.760297775268555, 2.3597230911254883, 8.070733070373535, 2.614590644836426, 5.662991523742676, 13.308303833007812, 7.125954627990723, 3.765627861022949, 9.659285545349121, 7.134981155395508, 14.264575004577637, 5.616349220275879, 5.416216850280762, 1.963974952697754, 6.345810413360596, 9.228008270263672, 2.803084373474121, -0.0]
