Dennis has seen this tooth that Kristin was n't concealing that is astounding men . <eos>	[5.545644760131836, 5.381830215454102, 4.654043197631836, 4.935761451721191, 6.172086238861084, 4.1848320960998535, 4.781164169311523, 5.743033409118652, 6.059520721435547, 5.772765159606934, 3.036461353302002, 5.183443546295166, 5.720694541931152, 1.9206002950668335, 2.9648609161376953, 2.6730799618235324e-07]	[10.090421676635742, 7.710294723510742, 5.7994794845581055, 4.265229225158691, 12.183250427246094, 5.147103309631348, 15.672530174255371, 4.883411407470703, 5.7193756103515625, 10.369752883911133, 5.610074996948242, 4.75638484954834, 13.425483703613281, 12.404675483703613, 1.3444242477416992, -0.0]	Dennis has seen who this tooth that Kristin was n't concealing is astounding men . <eos>	[5.545644760131836, 5.381830215454102, 4.654043197631836, 4.935761451721191, 5.510031700134277, 5.076760768890381, 3.9748778343200684, 5.2323503494262695, 5.656063556671143, 6.1411967277526855, 5.890625953674316, 3.408987045288086, 5.873525619506836, 1.6866668462753296, 2.846059560775757, 2.671076231308689e-07]	[10.090421676635742, 7.710294723510742, 5.7994794845581055, 10.582710266113281, 7.658462047576904, 12.239912033081055, 8.669599533081055, 16.38384246826172, 3.6453561782836914, 7.513334274291992, 10.937431335449219, 3.2161483764648438, 12.148022651672363, 11.449583053588867, 1.2807464599609375, -0.0]
Every adult has known every boy that Paul would distract that would n't think about a lot of nuclei . <eos>	[5.545644283294678, 5.807931900024414, 5.584739685058594, 4.168697357177734, 5.287189483642578, 6.033570289611816, 3.9813835620880127, 4.590878963470459, 4.529476165771484, 4.69361686706543, 1.9851319789886475, 4.711912155151367, 4.446970462799072, 3.6345725059509277, 3.734276294708252, 3.7898647785186768, 6.166322708129883, 0.9968669414520264, 5.902203559875488, 3.571216583251953, 2.826124614330183e-07]	[11.714590072631836, 8.417448997497559, 3.9401330947875977, 7.727860927581787, 6.466170310974121, 6.595787048339844, 4.2935686111450195, 8.831121444702148, 4.366935729980469, 11.4532470703125, 7.252189636230469, 4.151114463806152, 6.206640243530273, 8.516613960266113, 2.364147186279297, 3.631587028503418, 5.480019569396973, 0.16952896118164062, 13.554872512817383, 1.2860136032104492, -0.0]	Every adult has known what every boy that Paul would distract would n't think about a lot of nuclei . <eos>	[5.545644283294678, 5.807931900024414, 5.584739685058594, 4.168697357177734, 5.287189483642578, 3.7878549098968506, 5.719837188720703, 3.935969114303589, 4.663151741027832, 4.615007400512695, 4.6350860595703125, 2.335057258605957, 4.5979766845703125, 4.341946601867676, 3.104288101196289, 3.6953983306884766, 6.272113800048828, 1.4784351587295532, 5.753201007843018, 3.7465732097625732, 2.8029387522110483e-07]	[11.714590072631836, 8.417448997497559, 3.9401330947875977, 7.727860927581787, 5.458589553833008, 7.190515518188477, 4.820376396179199, 6.502931594848633, 9.817024230957031, 4.043235778808594, 11.71975326538086, 8.485288619995117, 6.906801223754883, 5.864747047424316, 2.2307586669921875, 4.177004814147949, 5.0943756103515625, 0.29634857177734375, 13.863595962524414, 1.460495948791504, -0.0]
Carmen was n't thinking about every waitress that Thomas is investigating that loves the driver . <eos>	[5.545644283294678, 4.372946262359619, 5.7804975509643555, 5.764477252960205, 2.1955747604370117, 4.32282018661499, 5.834744930267334, 3.5823066234588623, 4.7057576179504395, 4.520760536193848, 5.231023788452148, 2.212268829345703, 4.3079423904418945, 3.102304697036743, 6.3619842529296875, 2.2913265228271484, 2.6979674316862656e-07]	[11.48564624786377, 5.526388168334961, 7.1482133865356445, 8.852090835571289, 0.5689125061035156, 8.623518943786621, 12.690577507019043, 4.606657028198242, 10.6154146194458, 4.851800918579102, 8.718174934387207, 6.46699333190918, 11.145471572875977, 2.5047264099121094, 6.560530662536621, 0.6670608520507812, -0.0]	Carmen was n't thinking about who every waitress that Thomas is investigating loves the driver . <eos>	[5.545644283294678, 4.372946262359619, 5.7804975509643555, 5.764477252960205, 2.1955747604370117, 4.32282018661499, 4.632842540740967, 5.770380020141602, 4.327622890472412, 4.581506729125977, 4.445991039276123, 3.847161293029785, 2.8479361534118652, 3.804119110107422, 6.402700424194336, 2.3963613510131836, 2.7059280682806275e-07]	[11.48564624786377, 5.526388168334961, 7.1482133865356445, 8.852090835571289, 0.5689125061035156, 5.3051910400390625, 9.637472152709961, 11.663987159729004, 7.031444549560547, 11.504246711730957, 4.266085624694824, 10.111257553100586, 14.110753059387207, 2.6347875595092773, 6.85508918762207, 0.7325534820556641, -0.0]
Jacqueline knows this person that Alexander has n't returned to that has hugged some dancer . <eos>	[5.545644283294678, 3.606914520263672, 3.9751620292663574, 5.352737903594971, 3.6080827713012695, 4.417473793029785, 4.15589714050293, 5.222096920013428, 4.613928318023682, 2.326218605041504, 4.1921563148498535, 5.748508453369141, 4.5658979415893555, 4.767442226409912, 5.083635330200195, 3.3469653129577637, 2.8302957844061893e-07]	[12.286383628845215, 11.304086685180664, 4.551563262939453, 5.872143745422363, 5.9404754638671875, 9.171109199523926, 2.378774642944336, 5.356389999389648, 5.6827850341796875, 0.9558582305908203, 5.33298397064209, 7.20082950592041, 4.810280799865723, 6.813701152801514, 14.380598068237305, 1.5464134216308594, -0.0]	Jacqueline knows who this person that Alexander has n't returned to has hugged some dancer . <eos>	[5.545644283294678, 3.606914520263672, 3.9751620292663574, 4.693346977233887, 3.8655905723571777, 3.188598394393921, 4.391563415527344, 3.7540433406829834, 4.47969913482666, 4.6895246505737305, 2.70273494720459, 4.288702964782715, 4.465414047241211, 4.633716106414795, 5.574326038360596, 3.32983660697937, 2.8568678089868627e-07]	[12.286383628845215, 11.304086685180664, 4.023662567138672, 6.103548049926758, 5.560583114624023, 10.588054656982422, 9.660089492797852, 2.5081796646118164, 7.43380069732666, 5.92961311340332, 1.2467765808105469, 8.21192741394043, 5.540863037109375, 7.769009113311768, 14.425141334533691, 1.5406742095947266, -0.0]
Vincent remembers this dancer that Stephanie does n't bother that was n't stunning those banks . <eos>	[5.545644283294678, 4.627337455749512, 3.7378406524658203, 5.1875810623168945, 3.7445578575134277, 4.791479587554932, 4.651062488555908, 2.027716636657715, 4.16407585144043, 3.2717649936676025, 4.397665500640869, 5.680178642272949, 5.586338520050049, 2.4439914226531982, 4.571709632873535, 3.40535569190979, 2.7495497079144116e-07]	[10.733722686767578, 12.130799293518066, 5.226726531982422, 11.472923278808594, 5.379748344421387, 9.871893882751465, 5.578547477722168, 1.165104866027832, 5.782282829284668, 7.1243181228637695, 6.412707328796387, 4.848531723022461, 12.51293659210205, 11.083154678344727, 11.934700012207031, 1.0401029586791992, -0.0]	Vincent remembers what this dancer that Stephanie does n't bother was n't stunning those banks . <eos>	[5.545644283294678, 4.627337455749512, 3.7378406524658203, 3.7169010639190674, 5.800548553466797, 4.313237190246582, 4.997856140136719, 5.136795997619629, 2.9539084434509277, 4.0005693435668945, 2.871835231781006, 4.883905410766602, 4.814496994018555, 2.6640663146972656, 4.897884845733643, 4.417634963989258, 2.742928018051316e-07]	[10.733722686767578, 12.130799293518066, 5.638069152832031, 5.109840393066406, 11.127391815185547, 7.539724349975586, 11.325321197509766, 5.270092010498047, 3.697422981262207, 6.808825492858887, 6.215084075927734, 6.753749847412109, 14.01674747467041, 12.184825897216797, 12.713995933532715, 1.624497413635254, -0.0]
Wendy sees newspaper articles that all paintings would n't look like that are bothering a person . <eos>	[5.545644283294678, 4.306267738342285, 5.099555969238281, 4.669297695159912, 4.131508827209473, 5.794988632202148, 5.91044807434082, 4.599061965942383, 4.903125762939453, 4.601433753967285, 2.2934775352478027, 3.2444307804107666, 5.007977485656738, 6.105681419372559, 4.644565105438232, 6.797936916351318, 3.9005959033966064, 2.7432071192379226e-07]	[11.5654878616333, 9.157875061035156, 11.418865203857422, 3.0836687088012695, 2.968364715576172, 6.169486045837402, 11.435775756835938, 5.427532196044922, 6.2854461669921875, 4.726463317871094, 0.4963645935058594, 5.632230758666992, 2.8948402404785156, 3.5386877059936523, 6.173608779907227, 5.722330093383789, 2.2420053482055664, -0.0]	Wendy sees who newspaper articles that all paintings would n't look like are bothering a person . <eos>	[5.545644283294678, 4.306267738342285, 5.099555969238281, 6.075486183166504, 6.2335920333862305, 5.200478553771973, 5.444951057434082, 5.5629425048828125, 4.320661544799805, 4.874484062194824, 4.597219467163086, 2.403104305267334, 3.166017532348633, 6.140903472900391, 4.176790714263916, 6.787983417510986, 3.9430980682373047, 2.7440501071396284e-07]	[11.5654878616333, 9.157875061035156, 9.209024429321289, 13.231074333190918, 6.630548477172852, 4.348424911499023, 6.304098129272461, 12.287328720092773, 5.6282958984375, 6.288270950317383, 4.908891677856445, 0.5380973815917969, 5.058553695678711, 3.5274658203125, 6.548069000244141, 5.815619468688965, 2.201404571533203, -0.0]
Samantha had discovered a goose that some photograph is looking like that is distracting these actors . <eos>	[5.545644283294678, 5.834954261779785, 4.672316551208496, 4.093476295471191, 6.883247375488281, 4.583781719207764, 4.863584041595459, 5.397981643676758, 4.021008491516113, 5.714689254760742, 2.1780195236206055, 3.427785873413086, 4.3763628005981445, 5.396142959594727, 4.340059757232666, 6.476483345031738, 3.102428436279297, 2.715555069698894e-07]	[12.405163764953613, 7.413773059844971, 6.519289016723633, 2.437479019165039, 10.460556030273438, 2.295269012451172, 8.95627212524414, 10.041335105895996, 3.177347183227539, 6.072849273681641, 2.9580211639404297, 4.685931205749512, 1.6230716705322266, 9.76835823059082, 7.173205375671387, 8.419179916381836, 1.2858047485351562, -0.0]	Samantha had discovered who a goose that some photograph is looking like is distracting these actors . <eos>	[5.545644283294678, 5.834954261779785, 4.672316551208496, 4.093476295471191, 4.518870830535889, 6.596170425415039, 4.7469587326049805, 4.686056137084961, 5.680845737457275, 3.631369113922119, 5.6525983810424805, 2.2927355766296387, 3.443939685821533, 4.936673164367676, 4.497365474700928, 6.284107208251953, 2.898171901702881, 2.7295010340822046e-07]	[12.405163764953613, 7.413773059844971, 6.519289016723633, 7.406537055969238, 6.370466232299805, 9.618931770324707, 5.115802764892578, 9.68397331237793, 10.713754653930664, 2.517727851867676, 5.554385185241699, 2.9916181564331055, 3.5545730590820312, 10.82291030883789, 7.346097946166992, 8.543594360351562, 0.9438495635986328, -0.0]
A lot of patients remember students that Alice kissed that questioned the cashier . <eos>	[5.545644760131836, 6.766556739807129, 1.8607481718063354, 6.38814640045166, 4.677387237548828, 4.676827907562256, 3.984652042388916, 5.1361894607543945, 4.652369022369385, 3.477431058883667, 3.2524375915527344, 3.6940317153930664, 7.340928554534912, 1.6028848886489868, 2.707840280891105e-07]	[7.048109531402588, 6.730053901672363, 0.3049907684326172, 6.748546600341797, 7.708976745605469, 9.089698791503906, 3.219057083129883, 10.783037185668945, 6.884693145751953, 6.411602973937988, 12.529485702514648, 1.4631280899047852, 12.92292594909668, 2.561781883239746, -0.0]	A lot of patients remember who students that Alice kissed questioned the cashier . <eos>	[5.545644760131836, 6.766556739807129, 1.8607481718063354, 6.38814640045166, 4.677387237548828, 4.676827907562256, 5.265578269958496, 4.65036678314209, 5.081489086151123, 3.9853403568267822, 3.5196104049682617, 2.952101469039917, 6.7130584716796875, 2.1338298320770264, 2.7088429987998097e-07]	[7.048109531402588, 6.730053901672363, 0.3049907684326172, 6.748546600341797, 7.708976745605469, 4.74730110168457, 10.369342803955078, 5.912400245666504, 10.134742736816406, 7.496339797973633, 14.184171676635742, 4.588582992553711, 12.369061470031738, 2.4668617248535156, -0.0]
Some association should know some pedestrians that Naomi discusses that sold many scarves . <eos>	[5.545644760131836, 5.850346565246582, 5.804586410522461, 3.7742552757263184, 3.608541488647461, 5.092985153198242, 3.952556848526001, 5.245994567871094, 5.234245300292969, 3.87772274017334, 6.232503890991211, 4.306501388549805, 5.027477741241455, 3.003227710723877, 2.675487849046476e-07]	[9.399500846862793, 12.305098533630371, 7.907981872558594, 7.1869401931762695, 5.875434875488281, 13.868890762329102, 3.695558547973633, 16.466678619384766, 10.376453399658203, 5.324843406677246, 12.043303489685059, 7.336590766906738, 13.760128021240234, 1.08953857421875, -0.0]	Some association should know what some pedestrians that Naomi discusses sold many scarves . <eos>	[5.545644760131836, 5.850346565246582, 5.804586410522461, 3.7742552757263184, 3.608541488647461, 4.9485321044921875, 6.101988792419434, 4.442013740539551, 5.046778678894043, 5.018641948699951, 3.94085693359375, 3.619169235229492, 4.381065368652344, 3.5668416023254395, 2.7033712513002683e-07]	[9.399500846862793, 12.305098533630371, 7.907981872558594, 7.1869401931762695, 2.593372344970703, 5.9054975509643555, 10.63322639465332, 7.712630271911621, 17.576406478881836, 11.04954719543457, 12.762481689453125, 9.583324432373047, 13.654552459716797, 1.477874755859375, -0.0]
Martin does n't see a book that guests sound like that is distracting all ladies . <eos>	[5.545644283294678, 4.141546249389648, 1.717865228652954, 4.8510308265686035, 4.372262954711914, 7.131616592407227, 4.267255783081055, 4.798307418823242, 5.084448337554932, 3.7765259742736816, 4.298501968383789, 4.726243019104004, 5.3161115646362305, 4.173151969909668, 5.144984245300293, 4.221264839172363, 2.8334864055068465e-07]	[8.610921859741211, 9.888551712036133, 2.1911048889160156, 4.381848335266113, 3.0210418701171875, 7.159638404846191, 3.1055431365966797, 10.637187957763672, 10.739630699157715, 1.4231462478637695, 4.140902519226074, 1.577387809753418, 10.073161125183105, 5.436668395996094, 8.808564186096191, 2.7491092681884766, -0.0]	Martin does n't see who a book that guests sound like is distracting all ladies . <eos>	[5.545644283294678, 4.141546249389648, 1.717865228652954, 4.8510308265686035, 4.372262954711914, 5.321576118469238, 6.9064178466796875, 3.673022747039795, 4.852363586425781, 4.835786819458008, 3.5882720947265625, 3.9021406173706055, 5.243560791015625, 3.983341693878174, 4.689332962036133, 3.7310733795166016, 2.7858649787049217e-07]	[8.610921859741211, 9.888551712036133, 2.1911048889160156, 4.381848335266113, 7.247686386108398, 5.623857498168945, 6.364133834838867, 6.189449310302734, 11.294116020202637, 10.671258926391602, 1.6498832702636719, 4.163398742675781, 11.026557922363281, 6.518477439880371, 8.519314765930176, 1.8288536071777344, -0.0]
Every adult thought about the light that Carolyn will have that had alarmed a lot of associations . <eos>	[5.545644283294678, 5.807931900024414, 5.584739685058594, 3.7459521293640137, 4.6606125831604, 7.346603870391846, 4.714603424072266, 5.093557357788086, 5.044027328491211, 5.178288459777832, 5.022033214569092, 6.023292541503906, 4.495311737060547, 4.146279335021973, 5.870480537414551, 0.9636620879173279, 4.995963096618652, 3.4063878059387207, 2.804241603371338e-07]	[11.714590072631836, 8.417448997497559, 10.133817672729492, 3.534531593322754, 1.2043571472167969, 7.8478240966796875, 3.543299674987793, 14.018329620361328, 5.139853477478027, 2.140009880065918, 5.182455062866211, 6.051599502563477, 12.119333267211914, 4.0132036209106445, 5.446233749389648, 0.14971160888671875, 10.957225799560547, 1.259709358215332, -0.0]	Every adult thought about what the light that Carolyn will have had alarmed a lot of associations . <eos>	[5.545644283294678, 5.807931900024414, 5.584739685058594, 3.7459521293640137, 4.6606125831604, 4.2501935958862305, 7.075253963470459, 4.104450225830078, 4.447976589202881, 4.978521823883057, 4.379056453704834, 4.54625129699707, 4.033725261688232, 4.452216148376465, 5.86378812789917, 0.8774112462997437, 4.506106376647949, 3.1571245193481445, 2.750818453023385e-07]	[11.714590072631836, 8.417448997497559, 10.133817672729492, 3.534531593322754, 4.741965293884277, 2.7095718383789062, 7.131364345550537, 5.9438323974609375, 14.739133834838867, 4.564513206481934, 1.870284080505371, 3.880682945251465, 12.7146635055542, 4.137412071228027, 5.0666399002075195, 0.13578224182128906, 11.2048921585083, 1.2247142791748047, -0.0]
The patients forget some man that that university forgot that questions the actress . <eos>	[5.545644760131836, 7.150014877319336, 4.992353439331055, 3.223705530166626, 3.273287057876587, 2.796443462371826, 4.8082098960876465, 5.305050373077393, 3.71914005279541, 2.1687116622924805, 5.922921180725098, 3.2017507553100586, 6.511643409729004, 4.468648910522461, 2.7555699944059597e-07]	[5.106276512145996, 12.761045455932617, 11.45290756225586, 5.470973968505859, 8.944818496704102, 3.368856430053711, 7.746513843536377, 11.043487548828125, 10.555773735046387, 4.071269989013672, 10.135343551635742, 5.6550397872924805, 9.550206184387207, 2.461944580078125, -0.0]	The patients forget who some man that that university forgot questions the actress . <eos>	[5.545644760131836, 7.150014877319336, 4.992353439331055, 3.223705530166626, 5.500476837158203, 4.5292792320251465, 4.885217666625977, 5.195917129516602, 4.785074234008789, 3.8610894680023193, 2.524059772491455, 2.780564069747925, 6.386269569396973, 4.378289222717285, 2.744056075698609e-07]	[5.106276512145996, 12.761045455932617, 11.45290756225586, 6.640384674072266, 7.586595058441162, 7.448028564453125, 6.666139602661133, 9.203864097595215, 12.302099227905273, 10.551007270812988, 11.74470329284668, 6.641613960266113, 9.475587844848633, 2.825861930847168, -0.0]
Many teenagers question governments that all women alarm that are n't discussing that adult . <eos>	[5.545644760131836, 5.432359218597412, 5.021459579467773, 3.3891537189483643, 3.8176097869873047, 5.544031620025635, 6.0184550285339355, 4.8958821296691895, 4.151477813720703, 4.289126396179199, 6.051791667938232, 6.145308494567871, 3.642037868499756, 5.409142017364502, 5.285039901733398, 2.8106873628530593e-07]	[9.974100112915039, 9.356657028198242, 9.912589073181152, 11.755926132202148, 3.1842269897460938, 6.576372146606445, 6.286228179931641, 15.176596641540527, 5.629335403442383, 3.8751440048217773, 4.815217018127441, 10.484352111816406, 5.575194358825684, 9.50333023071289, 1.9552860260009766, -0.0]	Many teenagers question who governments that all women alarm are n't discussing that adult . <eos>	[5.545644760131836, 5.432359218597412, 5.021459579467773, 3.3891537189483643, 5.044221878051758, 4.538286209106445, 4.748521327972412, 5.403687477111816, 4.469561576843262, 3.2755842208862305, 6.070733070373535, 6.094119071960449, 1.9877527952194214, 4.983475685119629, 4.553433418273926, 2.7545058856048854e-07]	[9.974100112915039, 9.356657028198242, 9.912589073181152, 6.882996559143066, 13.106794357299805, 5.971025466918945, 6.266368865966797, 5.803974151611328, 15.862471580505371, 3.852358818054199, 4.31166934967041, 10.874732971191406, 7.530862808227539, 10.100557327270508, 1.8194160461425781, -0.0]
Jodi remembered the mountain that Margaret was n't insulting that was n't hurting those cashiers . <eos>	[5.545644283294678, 4.915600776672363, 4.210027694702148, 7.370538234710693, 5.50351619720459, 4.977118968963623, 4.530006408691406, 5.825727462768555, 5.903345108032227, 2.5552945137023926, 3.390367031097412, 5.410312652587891, 5.272578239440918, 3.273564338684082, 5.114326477050781, 3.7486960887908936, 2.7699172733264277e-07]	[13.889872550964355, 14.231395721435547, 1.9777755737304688, 9.096678733825684, 4.617541313171387, 10.344316482543945, 2.185802459716797, 5.882513999938965, 11.508203506469727, 6.075431823730469, 4.100308418273926, 5.333357810974121, 9.974191665649414, 6.968021392822266, 5.020218849182129, 0.9988260269165039, -0.0]	Jodi remembered who the mountain that Margaret was n't insulting was n't hurting those cashiers . <eos>	[5.545644283294678, 4.915600776672363, 4.210027694702148, 4.993276596069336, 6.984483242034912, 4.871840953826904, 5.192129135131836, 4.862462997436523, 5.089916706085205, 5.882717132568359, 2.5715339183807373, 5.632898330688477, 5.592759609222412, 2.098865509033203, 5.304040431976318, 4.438174724578857, 2.7673445401887875e-07]	[13.889872550964355, 14.231395721435547, 6.394469261169434, 4.32723331451416, 9.823441505432129, 6.860608100891113, 9.530091285705566, 2.4443464279174805, 7.690887451171875, 12.78021240234375, 3.994527816772461, 5.467161178588867, 9.498342514038086, 9.9146728515625, 4.593218803405762, 1.4116029739379883, -0.0]
Thomas notices the unicycle that Christine had n't bought that was n't astounding every senator . <eos>	[5.545644283294678, 5.939351558685303, 3.632230520248413, 7.909449577331543, 5.429673671722412, 5.689752101898193, 4.798325538635254, 5.462202072143555, 4.833799362182617, 3.3427581787109375, 4.945322036743164, 6.168978691101074, 5.923297882080078, 2.33445405960083, 2.242619037628174, 3.8184597492218018, 2.759091444204387e-07]	[8.342763900756836, 12.193487167358398, 1.3677921295166016, 2.598085403442383, 4.280786514282227, 11.3156099319458, 1.8892383575439453, 6.130782127380371, 5.906067848205566, 6.614330291748047, 3.2464237213134766, 4.818946838378906, 13.768144607543945, 8.3734130859375, 14.838987350463867, 1.6168527603149414, -0.0]	Thomas notices who the unicycle that Christine had n't bought was n't astounding every senator . <eos>	[5.545644283294678, 5.939351558685303, 3.632230520248413, 6.079186916351318, 7.579978942871094, 6.216209411621094, 5.89484167098999, 4.470697402954102, 5.289951324462891, 5.046651363372803, 4.043883323669434, 5.999829292297363, 5.740036487579346, 1.8929582834243774, 2.430002212524414, 3.776327133178711, 2.768129547803255e-07]	[8.342763900756836, 12.193487167358398, 6.095127105712891, 5.83384895324707, 2.5716962814331055, 7.061470031738281, 11.226712226867676, 1.5422754287719727, 6.813283920288086, 6.147550582885742, 3.562077522277832, 5.49652099609375, 13.787503242492676, 8.989898681640625, 14.1155366897583, 1.5642385482788086, -0.0]
Timothy wo n't research the stimulus that Phillip discovered that aggravates some student . <eos>	[5.545644760131836, 4.3599958419799805, 0.37945792078971863, 5.048336982727051, 4.018162727355957, 7.481126308441162, 3.591909885406494, 5.1362104415893555, 5.505174160003662, 3.500441789627075, 4.6901984214782715, 4.9695940017700195, 5.24761962890625, 5.512121677398682, 2.824440912263526e-07]	[10.88221549987793, 12.492281913757324, 0.07808113098144531, 11.849425315856934, 1.254765510559082, 11.105201721191406, 3.4121084213256836, 12.418910026550293, 6.636471748352051, 5.350878715515137, 3.7342958450317383, 7.4624810218811035, 10.785003662109375, 1.8974742889404297, -0.0]	Timothy wo n't research who the stimulus that Phillip discovered aggravates some student . <eos>	[5.545644760131836, 4.3599958419799805, 0.37945792078971863, 5.048336982727051, 4.018162727355957, 5.677294731140137, 7.371771812438965, 3.2127397060394287, 5.070286750793457, 5.07412576675415, 3.475688934326172, 3.9858412742614746, 4.712848663330078, 4.808136463165283, 2.8695296805381076e-07]	[10.88221549987793, 12.492281913757324, 0.07808113098144531, 11.849425315856934, 7.758160591125488, 4.678955078125, 10.916885375976562, 7.4091386795043945, 13.669021606445312, 6.738166809082031, 6.975985527038574, 9.048973083496094, 11.220122337341309, 1.8859682083129883, -0.0]
Cynthia is n't noticing every college campus that Renee has n't noticed that was irritating many ladies . <eos>	[5.545644283294678, 6.349698543548584, 5.402792453765869, 5.582447052001953, 3.644556999206543, 6.085256576538086, 5.238014221191406, 3.5064339637756348, 4.9393720626831055, 5.141678810119629, 5.160267353057861, 4.943051815032959, 2.4029970169067383, 5.327302932739258, 5.950680732727051, 3.0065536499023438, 3.419440746307373, 3.3110127449035645, 2.714444633511448e-07]	[12.197232246398926, 6.037670135498047, 6.598054885864258, 10.575602531433105, 7.693720817565918, 9.58846378326416, 5.834170341491699, 4.080138206481934, 12.59634017944336, 2.222919464111328, 5.465329170227051, 6.5294294357299805, 5.65028190612793, 4.167479515075684, 12.080238342285156, 7.824187278747559, 10.441429138183594, 1.1587495803833008, -0.0]	Cynthia is n't noticing who every college campus that Renee has n't noticed was irritating many ladies . <eos>	[5.545644283294678, 6.349698543548584, 5.402792453765869, 5.582447052001953, 3.644556999206543, 5.42105770111084, 5.92485237121582, 5.483785629272461, 4.042049884796143, 5.243224143981934, 4.575611114501953, 4.560042381286621, 4.821756362915039, 2.4721803665161133, 5.464197158813477, 2.7908482551574707, 4.085871696472168, 3.0958197116851807, 2.693454632662906e-07]	[12.197232246398926, 6.037670135498047, 6.598054885864258, 10.575602531433105, 5.0861053466796875, 8.63623046875, 8.840375900268555, 7.17857551574707, 5.765103340148926, 12.425708770751953, 1.6771564483642578, 6.902636528015137, 6.908740043640137, 5.623805046081543, 12.065256118774414, 8.801557540893555, 9.572404861450195, 1.1591014862060547, -0.0]
Some women would n't discover that chicken that Donald is buying that was n't alarming a legislature . <eos>	[5.545644283294678, 5.850346088409424, 5.300732612609863, 5.03566837310791, 4.914276123046875, 4.107966423034668, 4.1928582191467285, 4.717405319213867, 4.010043144226074, 4.182967185974121, 6.002199172973633, 4.457770347595215, 6.132999420166016, 5.896905899047852, 5.803341388702393, 2.5371739864349365, 6.561583518981934, 3.7685019969940186, 2.7387554268898384e-07]	[9.399500846862793, 6.8033576011657715, 4.131604194641113, 5.691459655761719, 8.317995071411133, 2.5113649368286133, 11.994527816772461, 6.249228477478027, 12.153824806213379, 4.25600528717041, 7.898233890533447, 6.283333778381348, 3.60086727142334, 4.357071876525879, 12.71998119354248, 7.046564102172852, 12.103939056396484, 1.2173070907592773, -0.0]	Some women would n't discover what that chicken that Donald is buying was n't alarming a legislature . <eos>	[5.545644283294678, 5.850346088409424, 5.300732612609863, 5.03566837310791, 4.914276123046875, 4.107966423034668, 4.24381160736084, 4.209436893463135, 3.722163677215576, 4.233990669250488, 5.011358261108398, 5.155850410461426, 3.1040003299713135, 5.774989128112793, 5.646024227142334, 2.272826671600342, 6.514717102050781, 3.7045559883117676, 2.708844419885281e-07]	[9.399500846862793, 6.8033576011657715, 4.131604194641113, 5.691459655761719, 8.317995071411133, 3.5508079528808594, 7.48746919631958, 13.584562301635742, 7.11257266998291, 11.703553199768066, 3.6719722747802734, 7.306473731994629, 6.268180847167969, 4.857501983642578, 12.459392547607422, 7.682528495788574, 12.201416015625, 1.2387170791625977, -0.0]
Douglas had n't seen some hill that paintings have looked like that worries a person . <eos>	[5.545644283294678, 4.8124918937683105, 5.247849941253662, 4.875934600830078, 4.013667583465576, 4.607633113861084, 6.220083236694336, 4.746784210205078, 4.4384989738464355, 2.7640013694763184, 3.0209245681762695, 4.573866367340088, 3.6434037685394287, 3.3673064708709717, 4.868039131164551, 4.304174900054932, 2.729795767208998e-07]	[10.037826538085938, 5.7410125732421875, 6.690753936767578, 3.3041915893554688, 6.102169990539551, 11.516569137573242, 6.330728530883789, 13.709745407104492, 4.915702819824219, 7.436466217041016, 1.1960277557373047, 4.1878509521484375, 16.53061294555664, 5.330641746520996, 3.846713066101074, 2.9978933334350586, -0.0]	Douglas had n't seen who some hill that paintings have looked like worries a person . <eos>	[5.545644283294678, 4.8124918937683105, 5.247849941253662, 4.875934600830078, 4.013667583465576, 5.041370868682861, 5.2980523109436035, 5.2281718254089355, 4.575020790100098, 4.563900470733643, 3.538522243499756, 3.103243350982666, 3.4283580780029297, 2.929141044616699, 5.909250259399414, 4.458178997039795, 2.797331717374618e-07]	[10.037826538085938, 5.7410125732421875, 6.690753936767578, 3.3041915893554688, 10.341381072998047, 8.539386749267578, 11.891003608703613, 6.839902877807617, 13.608838081359863, 4.6293182373046875, 7.067300796508789, 1.5079269409179688, 16.420576095581055, 8.35836410522461, 3.5539608001708984, 4.276317596435547, -0.0]
Alice had n't researched some stimuli that many actresses noticed that annoyed some museum . <eos>	[5.545644760131836, 5.055191993713379, 4.740134239196777, 4.6728901863098145, 4.1321916580200195, 2.834015369415283, 3.5302584171295166, 4.285755157470703, 4.988706588745117, 3.4174845218658447, 3.223468780517578, 4.766707420349121, 2.9982895851135254, 4.273241996765137, 4.658336639404297, 2.836014800777775e-07]	[9.524055480957031, 5.508234024047852, 6.690343856811523, 10.624025344848633, 6.907702445983887, 11.469510078430176, 3.4711313247680664, 7.37827205657959, 10.129127502441406, 8.377226829528809, 4.448205947875977, 11.366673469543457, 5.489173889160156, 14.31628704071045, 4.59555721282959, -0.0]	Alice had n't researched what some stimuli that many actresses noticed annoyed some museum . <eos>	[5.545644760131836, 5.055191993713379, 4.740134239196777, 4.6728901863098145, 4.1321916580200195, 4.34885311126709, 5.317427635192871, 3.774034023284912, 3.927915334701538, 4.725449562072754, 3.802234649658203, 3.1615753173828125, 3.4592409133911133, 3.8906140327453613, 4.67574405670166, 2.755546688604227e-07]	[9.524055480957031, 5.508234024047852, 6.690343856811523, 10.624025344848633, 4.5762834548950195, 6.640220642089844, 10.825608253479004, 5.4294939041137695, 8.333136558532715, 9.913406372070312, 8.814658164978027, 14.384040832519531, 5.957449913024902, 14.30842399597168, 3.282258987426758, -0.0]
