UID	type	linguistics_term	acc	n
principle_A_domain_1	one-prefix	binding	0.678	1000
principle_A_domain_1	sentence	binding	0.983	1000
principle_A_domain_2	one-prefix	binding	0.239	1000
principle_A_domain_2	sentence	binding	0.597	1000
principle_A_domain_3	sentence	binding	0.522	1000
principle_A_reconstruction	sentence	binding	0.544	1000
regular_plural_subject_verb_agreement_1	one-prefix	subject_verb_agreement	0.589	1000
regular_plural_subject_verb_agreement_1	sentence	subject_verb_agreement	0.923	1000
regular_plural_subject_verb_agreement_2	sentence	subject_verb_agreement	0.878	1000
sentential_negation_npi_licensor_present	sentence	npi_licensing	1	1000
sentential_negation_npi_scope	sentence	npi_licensing	0.371	1000
sentential_subject_island	sentence	island_effects	0.413	1000
simple_anaphor_number_agreement	one-prefix	anaphor_agreement	0.457	1000
simple_anaphor_number_agreement	sentence	anaphor_agreement	0.98	1000
superlative_quantifiers_1	sentence	quantifiers	0.606	1000
superlative_quantifiers_2	sentence	quantifiers	0.733	1000
tough_vs_raising_1	sentence	control_raising	0.363	1000
tough_vs_raising_2	sentence	control_raising	0.901	1000
transitive	sentence	argument_structure	0.649	1000
wh_island	one-prefix	island_effects	0.35	1000
wh_island	sentence	island_effects	0.529	1000
wh_questions_object_gap	sentence	filler_gap_dependency	0.757	1000
wh_questions_object_gap_long_distance	sentence	filler_gap_dependency	0.624	1000
wh_questions_subject_gap	sentence	filler_gap_dependency	0.893	1000
wh_questions_subject_gap_long_distance	sentence	filler_gap_dependency	0.951	1000
wh_vs_that_no-gap	sentence	filler_gap_dependency	0.977	1000
wh_vs_that_no_gap	sentence	filler_gap_dependency	0.973	1000
wh_vs_that_no_gap_long_distance	sentence	filler_gap_dependency	0.98	1000
wh_vs_that_with_gap	sentence	filler_gap_dependency	0.4	1000
wh_vs_that_with_gap_long_distance	sentence	filler_gap_dependency	0.126	1000
