UID	linguistics_term	type	m_pred
irregular_plural_subject_verb_agreement_1	subject_verb_agreement	one-prefix	0.806
irregular_plural_subject_verb_agreement_1	subject_verb_agreement	sentence	0.151
irregular_plural_subject_verb_agreement_2	subject_verb_agreement	sentence	0.107
irregular_plural_subject_verb_agreement_2	subject_verb_agreement	two-prefix	0.912
left_branch_island_echo_question	island_effects	sentence	0.684
left_branch_island_echo_question	island_effects	two-prefix	0.72
left_branch_island_simple_question	island_effects	sentence	0.639
matrix_question_npi_licensor_present	npi_licensing	sentence	0.984
matrix_question_npi_licensor_present	npi_licensing	two-prefix	0.031
npi_present_1	npi_licensing	one-prefix	0.497
npi_present_1	npi_licensing	sentence	0.464
npi_present_2	npi_licensing	one-prefix	0.507
npi_present_2	npi_licensing	sentence	0.461
only_npi_licensor_present	npi_licensing	sentence	0.071
only_npi_licensor_present	npi_licensing	two-prefix	0.986
only_npi_scope	npi_licensing	sentence	0.636
only_npi_scope	npi_licensing	two-prefix	0.393
passive_1	argument_structure	sentence	0.276
passive_2	argument_structure	sentence	0.265
principle_A_c_command	binding	one-prefix	0.584
principle_A_c_command	binding	sentence	0.412
principle_A_case_1	binding	one-prefix	1
principle_A_case_1	binding	sentence	0
principle_A_case_2	binding	one-prefix	0.794
principle_A_case_2	binding	sentence	0.112
principle_A_domain_1	binding	one-prefix	0.987
principle_A_domain_1	binding	sentence	0.017
principle_A_domain_2	binding	one-prefix	0.69
principle_A_domain_2	binding	sentence	0.317
principle_A_domain_3	binding	sentence	0.445
principle_A_domain_3	binding	two-prefix	0.551
principle_A_reconstruction	binding	sentence	0.536
regular_plural_subject_verb_agreement_1	subject_verb_agreement	one-prefix	0.9
regular_plural_subject_verb_agreement_1	subject_verb_agreement	sentence	0.099
regular_plural_subject_verb_agreement_2	subject_verb_agreement	sentence	0.17
regular_plural_subject_verb_agreement_2	subject_verb_agreement	two-prefix	0.832
sentential_negation_npi_licensor_present	npi_licensing	sentence	0
sentential_negation_npi_licensor_present	npi_licensing	two-prefix	1
sentential_negation_npi_scope	npi_licensing	sentence	0.768
sentential_negation_npi_scope	npi_licensing	two-prefix	0.228
sentential_subject_island	island_effects	sentence	0.572
superlative_quantifiers_1	quantifiers	sentence	0.372
superlative_quantifiers_2	quantifiers	sentence	0.174
superlative_quantifiers_2	quantifiers	two-prefix	0.817
tough_vs_raising_1	control_raising	sentence	0.664
tough_vs_raising_2	control_raising	sentence	0.07
transitive	argument_structure	sentence	0.35
transitive	argument_structure	two-prefix	0.594
wh_island	island_effects	one-prefix	0.475
wh_island	island_effects	sentence	0.533
wh_questions_object_gap	filler_gap_dependency	sentence	0.206
wh_questions_object_gap_long_distance	filler_gap_dependency	sentence	0.373
wh_questions_subject_gap	filler_gap_dependency	sentence	0.085
wh_questions_subject_gap_long_distance	filler_gap_dependency	sentence	0.044
wh_vs_that_no_gap	filler_gap_dependency	sentence	0.031
wh_vs_that_no_gap_long_distance	filler_gap_dependency	sentence	0.027
wh_vs_that_with_gap	filler_gap_dependency	sentence	0.572
wh_vs_that_with_gap_long_distance	filler_gap_dependency	sentence	0.863
